x,y,z
49720.22,850,9366
55735.22,1147,7766
58688.62,1221,9128
57928.41,1181,10170
50723.81,990,9350
59005.4,1218,10424
64789.39,1167,33128
52330.99,985,19280
48389.27,1062,7500
46522.29,1031,16868
59047.15,1069,11410
69602.13,1162,28370
51919.71,1045,7332
59048.32,1120,34092
49132.68,1046,7924
65084.81,1058,5674
69074.33,1158,10158
51732.17,990,7624
48616.43,1120,25280
52450.53,1154,8522
42159.88,1088,8050
48705.91,1068,7889
50351.38,968,14400
61757.88,1135,17805
45548.96,988,8100
63550.03,1270,40870
56884.69,1209,24468
61306.22,1120,24120
51329.59,1034,24440
42416.87,988,7961
73950.46,1080,34754
75484.4,1115,34498
66849.57,960,30384
81448.64,1544,45390
81648.78,1109,38430
74683.78,1259,9001
59070.9,887,6577
68064.96,1066,7016
61867.44,1003,7022
53295.09,897,6311
73036.4,1024,6437
66954.9,1056,6452
52850.08,874,6355
64055.44,902,6569
65686.13,948,6872
77601.85,1397,13431
76621.08,1226,13951
78085.65,1175,13252
72896.84,1339,12763
68292.12,1119,13527
76397.62,1344,13530
73046.19,1248,13968
78075.09,1201,13461
73437.32,1217,47260
79890.85,1029,31690
66943.92,933,28470
82855.72,1408,49045
79219.91,1054,42550
53503.12,988,27954
82806.61,1484,50649
72379.02,858,35666
57400.36,990,7195
67082.29,1034,38560
63313.83,929,30471
71662.94,1091,30920
78631.93,1222,42795
80580.15,1018,38750
71756.45,1183,44258
59943.9,915,35944
89560.16,910,32608
75275.66,1304,49248
73811.67,1045,42314
69255.78,984,29064
72621.06,1152,42934
79068.51,1226,48342
71269.62,1148,32400
76544.99,1435,47620
68599.2,1130,44900
68953.33,1130,6976
79883.39,1236,44586
77495.51,979,6476
82472.56,1172,42634
76498.11,1012,26480
88589.14,1055,7378
93581.09,1313,45300
79153.99,1362,49152
55586.54,1001,25200
84232.87,1124,42930
75511.05,996,7330
75891.29,975,30050
76787.41,1391,50277
78788.61,1179,41360
73825.46,1057,43280
60713.37,944,36408
50726.71,954,8574
74050.41,1055,8692
70639.18,1088,7692
81327.65,1212,11091
74353.28,1339,17353
73818.06,1145,10558
78120.26,1249,44178
61685.3,1012,7600
56304.4,952,7474
71857.86,971,6420
72445.43,1031,8166
74280.35,1092,33710
54713.6,970,8282
68547.81,964,8451
63241.6,926,30850
75579.11,1011,9300
80999.86,1250,13366
82221.8,1050,36460
77310.15,1066,35650
67090.63,893,16510
87986.1,1095,42270
"7,460,793,236,200",0,
74581.97,918,9600
75345.96,1498,47600
60801.87,892,7531
84189.75,1198,12520
70367.14,836,25020
81657.17,1252,43103
65746.56,883,15604
85677.46,1294,50435
82187.36,1416,48611
58621.88,926,28800
78627.36,999,35200
62518.63,1179,6368
68211.73,1134,40020
52786.24,966,5785
63066.25,1047,4831
63843.09,1071,16830
60028.37,928,13030
68086.59,1194,39290
58110.89,1090,6556
60789.21,1172,31460
60914.47,1215,6507
60120.16,1277,6381
"71,124,131,945,724",0,
62628.24,1140,6394
62876.89,1130,27660
64221.06,1065,27150
58397.57,1177,6410
56846.82,924,27960
60101.07,955,22840
71934.52,1092,27044
58249.91,845,11040
52491.75,879,19754
55372.47,890,24792
54753.42,1053,6360
46480.92,933,3453
52181.09,883,5490
56704.76,997,5360
69033.68,910,18500
70464.52,1179,31996
67048.19,990,25878
50342.2,935,3971
55979.92,961,6011
63670.68,1189,31320
80509.92,1380,46314
53364.82,865,5594
77933.64,1403,12204
49591.36,967,5262
68382.02,1143,9170
62772.56,1089,6273
72190.32,1056,8974
71225.06,1252,11622
63654.05,851,3551
67164.94,1217,34450
61675.05,978,26742
73815.08,1140,33800
58219.12,995,21990
75577.26,953,20266
71588.69,1064,34970
54220.88,847,5644
65365.08,969,20846
59357.86,997,20710
62186.38,938,18000
57353.47,993,6297
66454.08,945,6143
65588.3,974,28012
72476.63,966,21780
59308.27,926,7332
71646.27,1067,11164
58298.66,1046,6876
54125.14,1061,7020
49266.88,939,7224
59470.41,1056,28150
58959.59,1040,3830
72806.39,1155,43960
77796.79,990,22080
74072.54,1163,31480
51518.57,875,9994
74573.19,1506,51351
68556.46,1047,29520
66452.23,1010,11312
80672.5,1090,34450
58941.13,1022,25088
71955.13,1092,13664
77278.04,1305,15054
81071.43,1249,42490
74075.49,1251,43680
74746.5,1090,13666
75944.27,1086,28170
79812.86,1051,29040
67725.68,824,17700
76055.22,1195,40426
58622.67,1006,27930
63904.96,1069,30630
66145.51,1070,34200
86906.76,1125,35421
70754.04,1014,25860
75712.57,1029,14295
81811.63,1460,49047
61978.62,870,9351
66225.19,1078,32790
58100.78,1010,26998
64497.21,1007,28330
70632.13,1038,27300
69994.18,1010,30670
76865.85,1069,29950
69054.28,990,30920
58971.81,1068,11413
59313.76,1032,13137
59952.94,1070,10247
74534.57,1097,26665
72368.27,1042,28700
"6,769,897,012,889",0,
81885.15,1314,32950
64040.72,1050,27680
62817.43,1070,9498
71968.39,1209,37010
72050.75,1208,44678
61532.75,1157,32946
61682.88,994,29025
64885.98,1103,34514
72725.39,984,27950
63046.08,1029,24822
61940.3,995,8080
64749.24,1014,9056
63891.1,1030,26290
60972.77,962,25600
57279.45,1002,7178
56049.16,910,8580
60071.06,947,6941
59249.25,955,6986
70094.49,1199,10388
61713.1,928,6963
57669.69,955,6949
51277.14,961,6930
60877.57,1013,29910
65206.92,1026,30500
62930.13,1086,24728
76710.92,1455,47929
61126.89,960,6868
65416.73,943,7358
67724.52,1322,45141
63802.5,974,27220
63422.14,985,28690
56558.81,952,28932
72879.94,1125,37400
68822.46,1191,30270
60275.33,1089,30350
72576.06,1159,36160
66824.54,1145,39980
51579.73,1010,31318
59591.09,1068,33345
57836.44,1045,29940
61192.02,1126,39080
67428.42,1177,38700
70375.31,1224,33696
58943.3,944,27895
63394.45,1069,15920
56137.53,961,25890
62140.86,969,24614
70311.1,1402,46990
61269.08,1142,7736
55010.75,949,27286
63769.8,1164,8104
66273.98,1088,30628
65739.49,1179,39190
54990.75,1070,28155
61693.27,990,28226
56117.97,1050,7817
58600.59,1141,28950
63314.56,1050,28380
60274.33,1104,34175
57565.93,930,28073
58222.9,1105,37190
67758.92,1048,27160
64485.18,1129,26200
57710.76,959,25900
56675.47,1030,5936
60343.56,1014,25965
70891.42,1145,10825
62008.99,1095,26030
54592.99,1020,26600
69737.68,1015,26150
60078.99,1089,7528
65601.28,1120,37650
64052.84,1279,38200
44968.88,1022,21000
47617.36,1028,8150
51636.62,931,7754
59287.73,1143,10936
53919.37,977,17810
59042.66,1159,10744
42103.85,1047,8098
48948.11,1069,7608
63568.77,1068,9120
35782.96,965,18840
55916.29,970,24000
64733.74,1016,29153
50387.75,1047,9482
58549.24,1114,33900
51069.58,888,16252
44602.47,871,7063
39416.07,950,6158
57504.74,1163,9714
47946.96,1029,6903
46322.14,969,15070
46738.12,1105,8854
67759.61,1134,37830
47295.56,1029,7290
51940.24,1034,8004
49304.74,1030,7348
43063.22,1054,7658
43125.41,1008,7006
54007.12,1010,11444
53084.32,1030,7280
47090.8,1069,8256
69803.28,1346,49638
55657.89,1050,22349
80130.48,1363,49120
54908.38,1090,10610
64934.4,1070,34760
63952.22,989,32620
58065.5,984,7796
65721.01,972,8326
77046.6,883,7660
73053.75,1023,23508
69837.96,821,22790
54222.17,888,7346
70221.41,955,8488
81539.46,1453,48710
83010.29,1209,11006
90010.73,1315,9996
80395.11,1140,43870
66039.83,834,7625
63566.62,878,7508
81781.05,1013,37500
70799.46,1087,33670
85886.58,1145,13895
80470.71,1081,9182
74334.54,1006,30998
83552.93,1074,39500
62232.99,887,31870
82187.65,1451,50562
82978.89,1317,46784
82419.5,1244,44085
83893.95,1380,49324
83140.68,1303,48436
85221.28,1360,49598
75059.92,996,8903
77762.42,941,36765
69305.79,978,29880
80699.66,1211,41052
71253.32,993,9935
80769.61,975,8700
80002.32,1112,35386
76879.55,1497,45278
77012.29,966,32000
73324.38,1066,25095
76546.63,1197,13427
78424.73,1226,14171
68463.25,1055,12682
72630.13,1070,30530
75629.56,1086,11725
77426.3,1507,46704
73378.33,906,32300
80190.89,1435,45530
59687.78,976,32280
58088.78,775,27050
77652.59,1163,37380
64281.13,1042,34455
72067.31,1025,12588
76214.79,1024,33934
82793.69,1424,50604
81018.79,1369,46836
76699.8,1104,32500
76363.81,1080,34030
72419.11,1001,8815
76696.63,944,33835
77966.2,1442,50070
68531.82,1020,8857
66915.1,1008,33610
71425.7,1104,39313
61676.21,1110,35428
63096.48,1091,27000
64829.33,1090,28820
70660.49,1202,30660
66048.2,1049,11850
74293.04,1070,38950
64142.33,1122,38626
"69,989,102,910,417",0,
61040.62,1009,10970
70813.57,1204,38430
67198.25,1090,11363
72371.25,1205,30550
53637.55,1027,10580
73119.88,1156,30300
72787.1,1030,18740
72043.03,949,21028
77145.9,1384,13856
72140.18,1159,13560
61737.2,1207,14286
67620.59,1105,11304
64807.7,992,9936
57050.02,1011,9620
64809.96,1026,24170
78696.54,1070,11344
62696.44,931,24816
68721.86,1010,19544
57827.75,1030,8968
63208.96,1027,23750
61521.97,1073,25510
61912.62,1070,11814
69141.32,1030,11029
72224.74,1032,35465
55158.96,1010,8366
62776.68,1074,25170
77038.37,1127,34140
71070.84,1400,49263
70958.04,1127,37886
71692.75,1358,48887
66314.89,1030,7836
70741.62,1288,13790
55080.02,1026,11646
70094.27,1096,35326
68076.22,1109,13082
63548.87,1146,12846
54641.42,1049,8096
65000.36,1024,21586
70065.41,1102,28730
53222.25,930,16165
70918.96,1118,40846
66422.48,1030,7814
